"","VCF0006","VCF0006a","VCF0009x","VCF0010x","VCF0011x","VCF0009y","VCF0009z","VCF0010z","VCF0011z","VCF0017","VCF0018a","VCF0018b","VCF0050a","VCF0050b","VCF0070a","VCF0070b","VCF0071c","VCF0071d","VCF0072a","VCF0072b","VCF0101","VCF0102","VCF0103","VCF0104","VCF0105a","VCF0105b","VCF0106","VCF0107","VCF0108","VCF0110","VCF0112","VCF0113","VCF0114","VCF0116","VCF0118","VCF0127","VCF0127a","VCF0127b","VCF0128","VCF0130","VCF0130a","VCF0140","VCF0140a","VCF0143","VCF0146","VCF0147","VCF0148","VCF0148a","VCF0149","VCF0150","VCF0152","VCF0156","VCF0157","VCF0205","VCF0206","VCF0207","VCF0209","VCF0210","VCF0211","VCF0212","VCF0214","VCF0217","VCF0218","VCF0223","VCF0224","VCF0227","VCF0228","VCF0232","VCF0233","VCF0234","VCF0253","VCF0290","VCF0291","VCF0301","VCF0302","VCF0303","VCF0305","VCF0310","VCF0346","VCF0349","VCF0358","VCF0359","VCF0360","VCF0361","VCF0370","VCF0371","VCF0372","VCF0373","VCF0374","VCF0380","VCF0386","VCF0392","VCF0412","VCF0413","VCF0414","VCF0415","VCF0424","VCF0425","VCF0426","VCF0427","VCF0428","VCF0447","VCF0450","VCF0451","VCF0471","VCF0475","VCF0481","VCF0487","VCF0493","VCF0501","VCF0502","VCF0502a","VCF0503","VCF0504","VCF0605","VCF0606","VCF0609","VCF0613","VCF0624","VCF0648","VCF0649","VCF0656","VCF0700","VCF0702","VCF0703","VCF0704","VCF0704a","VCF0705","VCF0706","VCF0707","VCF0708","VCF0709","VCF0710","VCF0712","VCF0713","VCF0714","VCF0717","VCF0718","VCF0719","VCF0720","VCF0721","VCF0723","VCF0723a","VCF0729","VCF0731","VCF0733","VCF0734","VCF0736","VCF0740","VCF0741","VCF0742","VCF0801","VCF0803","VCF0804","VCF0806","VCF0809","VCF0823","VCF0824","VCF0830","VCF0838","VCF0839","VCF0843","VCF0846","VCF0847","VCF0849","VCF0850","VCF0851","VCF0852","VCF0853","VCF0854","VCF0867","VCF0867a","VCF0870","VCF0871","VCF0872","VCF0876","VCF0876a","VCF0878","VCF0879","VCF0879a","VCF0880","VCF0880a","VCF0881","VCF0886","VCF0887","VCF0888","VCF0890","VCF0894","VCF0900","VCF0900b","VCF0900c","VCF0901a","VCF0901b","VCF0902","VCF0903","VCF0904","VCF0905","VCF0991","VCF0992","VCF1004","VCF1005","VCF1011","VCF1012","VCF1013","VCF1014","VCF1015","VCF1016","VCF9005","VCF9009","VCF9013","VCF9016","VCF9017","VCF9018","VCF9021","VCF9022","VCF9023","VCF9025","VCF9027","VCF9028","VCF9029","VCF9030","VCF9030a","VCF9030b","VCF9030c","VCF9031","VCF9032","VCF9039","VCF9040","VCF9041","VCF9042","VCF9045","VCF9047","VCF9048","VCF9049","VCF9054","VCF9055","VCF9056","VCF9057","VCF9058","VCF9059","VCF9060","VCF9069","VCF9081","VCF9084","VCF9085","VCF9086","VCF9087","VCF9088","VCF9089","VCF9092","VCF9093","VCF9094","VCF9095","VCF9096","VCF9122","VCF9123","VCF9124","VCF9131","VCF9132","VCF9133","VCF9201","VCF9202","VCF9203","VCF9204","VCF9205","VCF9206","VCF9207","VCF9208","VCF9209","VCF9210","VCF9211","VCF9212","VCF9213","VCF9214","VCF9215","VCF9216","VCF9217","VCF9218","VCF9219","VCF9220","VCF9221","VCF9222","VCF9223","VCF9224","VCF9225","VCF9226","VCF9227","VCF9228","VCF9229","VCF9230","VCF9231","VCF9232","VCF9233","VCF9234","VCF9235","VCF9236","VCF9237","VCF9238","VCF9239","VCF9240","VCF9241","VCF9242","VCF9243","VCF9244","VCF9245","VCF9246","VCF9247","VCF9248","VCF9249","VCF9250","VCF9251","VCF9252","VCF9253","VCF9255","VCF9256","VCF9257","VCF9258","VCF9259","VCF9260","VCF9261","VCF9262","VCF9263","VCF9264","VCF9265","VCF9266","VCF9267","VCF9268","VCF9269","VCF9270","VCF9271","VCF9272","VCF9273","VCF9275","VCF9277","VCF9278","VCF9279","VCF9280","VCF9281","VCF9282"
"59297",4443,20164443,0,0,0,0.645,0.662,0.662,0.662,4,0,0,9,0,NA,NA,9,9,9,9,31,2,2,1,5,3,3,1,1,3,4,2,1,1,1,2,0,0,4,5,5,4,4,5,2,2,1,1,3,10,998,5,1,60,97,97,60,90,90,0,80,97,97,80,0,97,80,97,50,50,85,49,99,2,5,1,3,2,1,1,2,2,1,1,1,1,2,2,5,5,5,1,43,93,40,60,85,50,0,30,70,97,2,3,85,1,5,1,1,2,9,5,2,7,2,3,3,3,3,50,100,100,1,1,2,0,0,0,7,0,0,0,0,0,1,2,2,1,1,1,1,2,2,1,1,7,4,0,2,2,2,4,9,0,3,3,1,0,6,1,5,2,1,3,1,3,5,3,3,2,5,4,5,5,1,1,2,1,4,5,1,1,1,2,2,2,2,2,21,621,"CA21",6,"CA",21,1,2,2,1,5,3,3,9,9,9,2,55,4,30,2,1,2,2,3,1,0,9,9,1,1,3,7,2,2,2,5,1,3,3,3,3,1,3,2,1,1,51,50,990,990,990,78,2,5,7,6,4,5,2,5,7,2,6,6,7,1,99,99,2,2,2,5,5,2,-9,1,2,5,5,1,1,2,1,5,5,5,3,2,2,2,2,3,2,3,2,2,3,1,1,1,1,-9,1,2,2,2,2,5,3,1,5,5,5,-9,3,4,3,3,3,3,3,2,3,3,2,2,2,2,3,2,2,2,-9,-9,2,1,70,20,70,4,4,4,4,1,1,2,1,1,1,2
"59299",4445,20164445,0,0,0,0.837,0.859,0.859,0.859,4,0,0,9,0,NA,NA,9,9,9,9,39,3,2,2,1,1,1,7,2,4,3,1,3,1,1,2,0,0,1,2,2,6,6,1,1,1,4,4,1,10,135,5,5,92,79,80,34,4,31,92,89,71,14,66,82,95,10,86,10,65,74,48,16,7,1,3,4,3,1,1,1,1,1,1,1,2,1,1,5,1,1,5,52,16,62,33,17,45,86,79,0,28,2,4,17,1,1,1,5,2,2,2,2,6,1,1,1,1,2,0,50,0,2,2,3,2,2,2,2,2,2,4,4,4,2,2,2,1,1,2,1,3,2,1,1,2,9,5,2,2,2,79,6,3,6,5,2,0,7,4,3,4,1,3,5,2,4,2,2,2,5,5,3,3,3,1,2,1,4,5,2,3,2,2,2,1,1,2,9,1309,"GA09",13,"GA",52,2,0,1,1,5,9,9,1,9,1,8,55,19,52,5,2,2,2,4,5,1,0,0,2,2,1,7,2,2,2,5,5,5,1,2,5,1,2,2,2,1,21,41,91,91,41,72,2,1,1,1,7,2,1,6,7,7,4,4,6,2,99,99,1,2,1,1,9,1,2,3,1,2,7,3,5,2,5,1,3,1,3,2,2,3,2,4,2,3,1,2,3,1,2,3,1,-9,1,1,3,3,1,1,1,3,8,1,10,1,3,2,3,1,3,3,4,4,2,4,2,1,1,2,2,1,1,2,-9,-9,1,-9,44,63,90,2,5,3,1,2,1,2,1,1,1,1
"59300",4446,20164446,0,0,0,0.452,0.463,0.463,0.463,4,0,0,9,0,NA,NA,9,9,9,9,52,4,3,2,5,3,3,2,1,3,3,1,1,1,1,2,0,0,2,4,4,4,4,5,2,5,1,1,3,10,400,5,5,85,97,50,55,50,55,50,97,97,97,85,0,97,80,97,50,50,90,49,99,2,5,1,3,2,2,1,2,2,1,1,1,1,2,2,1,1,5,5,49,99,50,50,97,50,0,50,97,85,1,1,97,5,5,5,5,1,9,5,6,6,2,1,3,3,3,50,100,50,1,2,3,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,2,5,9,1,1,2,2,2,46,9,0,1,9,2,3,9,4,9,9,1,3,3,1,3,3,3,3,1,1,3,3,1,1,1,1,3,3,2,3,2,1,1,1,1,2,2,1302,"GA02",13,"GA",55,2,0,2,1,1,9,9,1,9,1,5,4,8,85,1,3,3,3,3,5,1,0,0,1,1,1,7,2,2,2,5,0,3,3,3,3,3,1,1,1,1,21,50,50,50,50,50,2,5,2,3,5,3,4,4,7,7,3,7,4,1,99,99,2,1,2,9,0,1,1,1,3,10,0,2,3,2,2,5,5,5,4,1,1,1,2,2,1,4,2,1,2,2,3,2,2,-7,2,4,4,4,2,4,1,2,10,10,0,2,3,3,3,1,3,3,3,3,3,3,2,2,2,2,3,1,1,1,-9,-9,2,1,50,50,85,4,4,2,2,1,1,2,1,1,1,2
"59301",4447,20164447,0,0,0,0.399,0.412,0.412,0.412,4,0,0,9,0,NA,NA,9,9,9,9,57,5,3,2,1,1,1,7,2,4,4,2,4,1,1,2,0,0,1,2,2,6,7,1,1,2,4,4,1,10,221,1,1,70,85,85,50,40,40,60,85,85,40,85,60,85,30,40,60,85,60,50,40,4,2,2,1,3,2,1,2,2,1,1,1,1,2,2,1,5,5,1,35,85,85,50,70,85,0,85,70,60,1,2,70,1,1,1,1,2,2,2,1,6,1,2,3,2,2,75,50,25,1,2,3,1,1,1,1,2,1,2,1,4,1,2,2,1,1,1,1,2,2,2,1,5,1,5,2,2,2,59,4,2,3,5,2,3,9,2,3,5,1,3,3,2,1,5,1,4,1,2,1,2,3,1,2,5,3,3,3,4,2,2,2,1,2,2,4,804,"CO04",8,"CO",55,2,0,2,1,5,9,9,9,9,1,6,50,6,70,2,2,2,2,3,5,1,0,0,1,1,1,7,2,2,2,5,1,2,3,4,3,3,2,2,1,1,12,60,60,60,60,50,2,4,3,2,6,4,1,6,4,6,3,4,5,1,99,99,1,1,1,4,4,2,-9,1,2,6,8,2,3,1,3,4,4,4,4,1,1,3,1,4,2,3,1,1,2,2,3,2,1,-7,3,7,4,2,1,2,1,3,5,2,8,1,2,2,1,3,1,1,4,3,4,4,2,1,1,1,2,1,1,1,-9,-9,2,-9,60,60,100,2,3,2,2,3,1,2,1,1,1,2
"59302",4448,20164448,0,0,0,0.782,0.8,0.8,0.8,4,0,0,9,0,NA,NA,9,9,9,9,79,7,5,2,1,1,1,7,2,4,3,1,3,5,3,2,0,0,1,3,3,6,6,1,1,1,4,4,1,50,230,0,0,50,60,75,85,15,15,97,97,70,0,85,70,70,40,70,15,70,15,35,15,7,1,3,4,3,1,2,1,1,2,2,1,2,1,1,5,1,1,5,43,23,99,999,15,99,70,99,0,0,2,4,15,5,1,1,5,2,2,2,2,6,1,1,3,1,1,25,0,0,2,2,3,2,2,2,2,2,0,4,0,0,2,2,1,1,1,1,1,1,1,2,1,1,9,5,2,2,2,90,6,3,6,7,1,0,7,2,1,9,1,3,5,3,2,5,1,1,5,5,3,3,3,1,2,5,5,5,2,3,2,3,3,1,2,3,1,4801,"TX01",48,"TX",55,2,0,2,1,5,9,9,1,9,1,6,21,1,70,5,3,2,2,2,5,1,0,0,2,2,1,3,1,1,1,1,0,4,1,4,4,1,3,2,1,2,82,996,996,996,996,996,2,4,2,7,7,4,1,4,6,4,4,4,5,2,99,99,1,2,1,2,9,1,2,3,2,0,-9,5,5,5,5,2,4,4,3,2,2,3,3,4,2,2,1,2,3,2,3,2,2,-7,3,6,4,2,1,2,1,3,8,2,8,1,3,1,1,3,1,3,5,3,3,5,2,1,1,1,2,1,1,2,-9,-9,1,-9,15,70,100,3,2,5,2,2,-9,-9,1,1,1,1
"59303",4449,20164449,0,0,0,0.718,0.738,0.738,0.738,4,0,0,9,0,NA,NA,9,9,9,9,58,5,4,2,2,2,2,7,2,3,4,2,3,1,1,2,0,0,1,2,2,5,5,1,2,3,1,1,3,10,260,5,5,85,85,85,50,70,50,50,85,85,70,70,15,85,50,50,85,70,70,43,78,2,5,1,3,3,2,1,1,2,1,1,1,1,2,2,5,5,5,1,30,80,0,50,60,0,0,0,97,85,1,1,60,1,5,5,1,2,2,2,4,7,1,2,1,3,2,25,50,25,1,2,3,1,1,1,1,0,1,0,1,1,9,2,1,1,1,1,1,1,1,2,1,4,2,0,2,2,2,49,9,0,4,9,2,3,4,4,9,6,1,3,3,1,1,2,1,2,5,5,1,1,3,1,2,5,5,5,2,3,1,1,2,1,1,2,5,405,"AZ05",4,"AZ",55,2,0,2,5,5,9,9,9,9,9,6,51,10,70,1,1,3,4,1,5,5,0,0,1,1,1,7,2,2,2,5,3,4,2,4,3,3,1,2,1,1,21,70,0,0,70,40,4,7,4,1,4,2,4,7,7,7,4,7,7,1,99,99,2,1,2,7,4,1,1,1,2,7,0,1,1,1,3,1,5,5,1,1,1,2,1,2,1,2,1,1,1,1,1,3,1,-9,2,4,4,1,1,2,1,3,5,6,2,1,3,3,3,1,3,3,5,2,5,5,3,1,1,2,2,1,1,2,-9,-9,2,-9,70,85,85,2,2,2,2,3,1,2,1,2,1,1
"59304",4450,20164450,0,0,0,0.89,0.911,0.911,0.911,4,0,0,9,0,NA,NA,9,9,9,9,80,7,5,2,1,1,1,7,2,3,1,2,3,5,3,1,21,3,2,1,0,5,5,5,1,1,3,3,3,50,400,0,0,85,97,97,85,85,15,85,97,85,1,85,84,85,40,60,70,50,40,43,9,7,1,3,4,3,1,2,1,1,2,2,1,1,1,1,5,1,1,5,49,2,99,999,0,99,97,86,1,2,2,4,0,5,1,1,1,2,2,2,1,6,1,1,1,2,2,50,50,0,2,2,3,2,2,2,2,2,0,4,0,0,2,2,2,1,1,1,1,2,2,2,1,5,9,5,2,2,2,84,6,3,4,4,2,0,5,2,3,6,1,3,5,2,1,5,1,4,5,4,3,3,1,5,5,5,4,5,2,3,2,2,2,1,1,2,11,4211,"PA11",42,"PA",55,2,0,2,1,5,9,9,1,9,1,6,52,6,60,5,2,2,3,2,5,1,0,0,2,2,1,2,1,2,1,5,0,4,1,2,3,1,1,2,2,1,21,60,70,70,60,70,2,2,3,2,1,1,1,6,5,5,4,5,6,2,99,99,2,2,1,3,10,2,-9,2,3,0,10,4,4,3,5,2,1,1,3,2,2,3,2,3,2,3,2,2,3,1,1,2,1,-9,2,4,4,1,1,1,1,3,10,0,10,2,2,1,1,1,1,3,5,3,3,5,2,2,2,2,3,1,1,2,-9,-9,2,-9,60,60,100,4,4,3,3,2,-9,-9,1,2,1,1
"59305",4451,20164451,0,0,0,0.83,0.849,0.849,0.849,4,0,0,9,0,NA,NA,9,9,9,9,70,6,4,2,1,1,1,7,2,4,3,1,5,1,1,2,0,0,1,4,4,6,7,1,1,1,6,6,2,10,270,5,5,70,72,81,50,50,31,41,85,86,5,70,33,61,31,79,70,31,85,19,36,5,2,3,2,1,2,1,1,1,2,2,1,1,2,2,5,1,5,5,3,50,48,34,3,32,3,64,17,3,2,4,3,1,1,1,1,2,2,2,1,6,1,1,1,2,1,50,0,0,1,2,3,2,2,2,2,2,0,4,0,0,2,2,1,1,1,1,1,1,1,2,1,0,9,5,2,2,2,54,4,2,5,5,2,0,6,4,2,5,1,3,5,2,3,5,2,2,5,5,3,3,3,1,1,1,9,9,3,4,3,3,1,2,3,3,7,4807,"TX07",48,"TX",55,2,0,2,1,5,9,9,1,9,1,6,25,20,71,5,3,3,3,3,5,5,0,0,2,2,1,2,1,2,1,5,3,2,3,4,3,1,1,1,1,2,82,996,996,996,996,996,2,4,1,1,7,2,1,6,5,3,2,6,6,2,99,99,9,9,2,3,6,2,-9,3,3,1,2,4,5,4,5,4,4,4,5,2,2,2,1,3,2,3,1,2,3,3,4,1,1,1,2,4,4,3,2,5,2,3,5,3,9,2,4,1,1,3,1,1,3,2,5,3,2,2,2,1,2,1,1,1,-9,-9,1,-9,61,51,65,-9,-9,-9,-9,2,3,-9,1,2,1,1
"59307",4453,20164453,0,0,0,1.056,1.084,1.084,1.084,4,0,0,9,0,NA,NA,9,9,9,9,62,5,4,1,2,2,2,7,2,2,2,2,3,1,1,2,0,0,4,1,0,3,3,5,2,1,1,1,3,10,304,1,1,85,85,85,60,50,70,30,85,97,65,97,47,97,60,0,97,15,30,56,59,2,5,1,3,2,2,1,1,1,1,1,1,1,2,2,1,5,5,1,39,88,57,59,76,66,1,48,92,39,1,1,76,1,1,5,5,2,2,2,2,6,1,1,3,3,3,50,100,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,2,1,4,0,0,2,2,2,29,4,2,3,4,2,0,2,1,9,6,1,3,1,1,1,2,2,5,1,2,3,3,3,5,4,5,2,1,3,4,2,1,1,1,1,1,8,1808,"IN08",18,"IN",55,2,0,2,1,1,9,9,9,9,9,6,29,18,40,1,4,3,4,3,1,0,1,9,0,2,3,7,2,2,2,5,1,2,5,4,1,1,2,1,1,1,65,60,70,990,990,60,2,5,2,6,4,2,2,4,7,2,2,6,6,2,99,99,1,1,2,8,3,2,-9,1,2,7,1,3,4,2,3,5,5,5,5,1,1,1,2,1,2,3,2,2,3,1,2,3,1,-9,3,7,4,2,2,5,1,1,5,6,3,2,4,3,3,1,1,3,4,4,4,3,2,1,2,2,2,1,1,2,-9,-9,2,-9,60,40,100,4,3,5,5,3,1,1,1,2,1,1
"59308",4454,20164454,0,0,0,0.585,0.6,0.6,0.6,4,0,0,9,0,NA,NA,9,9,9,9,60,5,4,0,6,4,3,7,2,0,2,2,1,4,2,2,0,0,4,5,5,9,9,1,2,2,3,3,4,40,998,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,50,50,4,2,2,1,1,2,2,1,1,2,2,1,1,2,2,5,5,5,5,0,50,8,43,0,0,0,15,0,2,2,4,0,5,1,5,1,1,9,5,4,4,2,1,2,2,1,100,0,50,7,2,3,0,0,3,4,0,0,0,0,6,9,1,1,1,1,1,1,1,1,0,5,9,5,0,2,2,2,49,9,0,9,9,1,3,9,1,9,9,2,5,3,3,5,5,5,5,5,4,5,5,5,5,4,5,5,5,3,4,3,3,3,3,3,3,15,3915,"OH15",39,"OH",55,2,0,2,5,5,9,9,9,9,9,6,13,42,0,5,5,5,5,5,5,5,0,0,5,3,3,7,2,2,2,5,0,5,5,5,5,1,3,3,3,1,21,0,0,0,0,0,4,1,1,1,1,1,4,1,1,1,1,1,4,2,99,99,2,2,2,0,0,2,-9,2,2,-9,0,5,5,5,5,5,5,5,5,2,2,2,3,3,2,4,-9,3,5,1,1,1,2,-7,2,4,4,2,1,2,2,4,0,0,0,-9,5,-9,1,3,3,3,1,5,5,1,4,2,2,2,3,2,2,2,-9,-9,1,-9,0,0,0,7,7,7,7,3,-9,-9,-9,-9,1,1
"59309",4455,20164455,0,0,0,0.676,0.7,0.7,0.7,4,0,0,9,0,NA,NA,9,9,9,9,77,7,5,1,1,1,1,7,2,4,4,2,4,1,1,2,0,0,1,4,4,6,6,1,2,1,4,4,1,15,270,5,5,50,50,70,70,15,30,85,70,50,15,50,70,50,50,50,50,50,50,43,23,7,1,3,4,2,1,1,1,1,2,2,1,2,1,1,5,1,1,5,43,8,50,50,0,50,85,50,15,30,2,4,0,5,1,1,1,2,2,2,2,6,1,2,3,3,2,50,50,25,2,2,3,2,2,2,2,2,0,4,0,1,2,2,2,1,1,1,1,2,2,2,1,1,9,5,2,2,2,76,6,3,5,6,2,0,5,4,3,6,2,5,5,2,2,2,1,2,5,5,3,3,3,5,5,1,4,5,2,3,1,3,2,2,3,3,1,601,"CA01",6,"CA",21,1,2,2,1,1,2,1,1,1,1,2,28,32,40,5,4,3,4,4,5,1,0,0,2,1,3,2,1,2,1,5,0,4,1,2,4,1,3,2,2,1,51,50,990,990,990,30,2,2,2,1,7,1,1,5,5,5,4,5,6,2,99,99,1,2,1,2,7,1,2,3,3,1,7,5,5,5,5,2,1,2,2,2,2,3,2,4,2,2,1,3,4,2,3,2,2,2,2,4,1,1,1,1,3,2,8,2,8,2,2,3,3,3,1,3,4,2,2,4,2,1,2,1,1,2,1,2,-9,-9,1,-9,15,70,50,3,5,3,3,1,3,-9,1,2,1,1
"59310",4456,20164456,0,0,0,1.412,1.446,1.446,1.446,4,0,0,9,0,NA,NA,9,9,9,9,77,7,5,2,1,1,1,7,2,2,1,2,2,5,3,2,0,0,2,1,1,3,3,1,2,1,4,4,1,51,400,5,5,97,51,51,72,72,84,85,86,52,30,97,60,51,85,84,17,99,84,45,35,5,2,3,2,3,1,1,1,1,2,2,1,2,1,1,5,1,1,5,43,23,99,999,15,99,70,85,0,15,2,4,15,5,5,5,5,2,2,2,2,4,1,1,1,1,1,0,0,0,2,2,3,2,2,2,2,2,0,4,0,4,2,2,1,1,1,1,2,2,1,2,1,3,9,5,1,2,1,49,6,3,9,7,2,0,3,2,3,6,1,2,5,2,1,5,1,1,5,5,3,3,1,1,1,5,5,5,2,3,2,2,2,1,3,3,8,2508,"MA08",25,"MA",12,1,2,2,1,5,4,2,1,2,2,1,56,20,71,5,1,3,1,5,1,1,0,0,2,1,1,2,1,2,1,5,5,4,2,2,5,1,2,1,2,2,81,996,996,996,996,996,2,4,1,4,7,1,1,6,6,7,3,7,5,2,99,99,1,2,1,3,8,1,2,3,1,0,8,5,5,3,5,1,2,2,2,2,2,3,3,4,2,3,2,2,3,1,1,1,1,-7,3,6,4,2,1,1,1,2,7,0,7,2,2,2,3,1,1,3,5,2,2,5,2,2,2,2,2,1,1,1,3,3,1,-9,71,84,99,3,3,3,3,2,1,2,1,2,1,1
"59311",4457,20164457,0,0,0,0.684,0.699,0.699,0.699,4,0,0,9,0,NA,NA,9,9,9,9,32,2,2,1,1,1,1,7,2,4,3,1,4,1,1,2,0,0,2,4,4,6,6,1,1,1,6,6,1,10,400,1,5,50,50,70,30,35,20,55,65,50,15,50,80,50,15,50,50,45,50,48,18,6,1,3,3,2,1,1,1,1,2,2,1,1,1,1,5,1,1,1,50,30,99,999,30,99,70,50,40,50,2,4,30,1,1,1,1,2,2,2,2,6,1,1,1,1,1,0,0,0,2,2,3,2,2,2,2,2,2,4,4,1,2,2,1,1,1,1,1,1,1,1,1,5,9,5,2,2,2,66,5,3,6,7,1,0,7,4,3,4,1,1,5,2,4,2,5,2,5,4,3,3,3,1,1,1,2,1,1,2,1,3,3,2,1,3,9,3709,"NC09",37,"NC",55,2,0,2,5,5,9,9,1,9,9,6,53,2,15,5,2,4,4,2,1,5,0,2,0,1,1,7,2,2,2,5,3,3,2,3,3,1,2,1,2,1,21,50,50,50,50,50,4,2,1,2,6,2,2,6,7,7,2,7,7,2,99,99,1,1,2,4,6,2,-9,3,1,2,6,4,5,3,5,2,2,2,2,2,2,3,2,2,2,3,2,1,2,1,1,2,1,-9,2,4,4,2,1,1,2,2,6,1,9,2,2,2,3,3,1,1,4,5,2,4,2,2,1,2,4,2,1,2,-9,-9,2,-9,45,50,50,3,3,3,3,2,1,2,1,1,1,1
"59313",4459,20164459,0,0,0,1.173,1.2,1.2,1.2,4,0,0,9,0,NA,NA,9,9,9,9,63,5,4,2,1,1,1,7,2,4,2,2,0,5,3,2,0,0,1,1,0,6,6,1,1,1,4,4,1,50,135,0,0,52,51,51,41,86,40,95,86,51,30,90,70,85,41,51,0,97,50,50,30,6,1,3,3,3,1,2,1,1,2,2,2,1,1,1,5,5,1,1,30,20,99,999,0,99,60,97,0,99,2,4,0,5,5,1,5,2,2,2,1,6,1,1,2,1,1,50,0,0,2,2,3,2,2,2,2,2,2,4,4,1,2,2,2,1,1,1,1,2,2,2,1,2,9,5,2,2,2,76,6,3,4,5,2,0,6,2,1,7,1,3,5,1,1,5,1,3,5,5,3,3,5,1,2,5,5,5,2,3,2,3,1,1,1,3,2,2002,"KS02",20,"KS",21,1,2,2,1,5,2,1,1,1,1,2,20,52,60,4,2,3,2,4,1,1,0,0,2,2,3,7,2,2,2,5,1,2,1,2,4,1,2,1,1,1,21,999,100,100,999,100,1,1,1,1,7,1,1,7,6,4,1,6,6,3,99,99,1,2,2,5,10,1,2,3,2,0,9,5,5,1,5,2,1,2,1,2,2,3,2,3,2,2,1,2,3,1,1,2,1,-9,1,1,4,2,1,1,1,3,8,0,10,1,3,4,1,1,1,3,3,4,3,5,2,2,1,1,3,1,1,2,-9,-9,2,-9,1,50,100,2,4,2,2,2,-9,-9,1,1,1,1
"59314",4460,20164460,0,0,0,0.649,0.667,0.667,0.667,4,0,0,9,0,NA,NA,9,9,9,9,66,6,4,2,6,4,3,7,2,4,4,2,1,4,2,2,0,0,4,5,5,6,6,1,2,2,9,9,9,40,998,0,0,50,50,50,50,50,50,50,50,0,99,50,99,0,50,50,0,50,50,999,999,6,1,3,3,2,2,2,2,2,2,2,2,2,1,1,5,1,1,5,49,2,0,50,0,0,97,0,0,0,2,4,0,5,5,5,5,2,9,5,4,4,1,2,3,3,1,50,0,25,2,2,3,2,2,2,2,0,1,0,3,5,4,1,2,1,1,1,1,2,2,1,1,0,0,0,2,2,2,49,9,0,2,1,1,3,1,1,7,3,2,5,3,3,3,4,3,3,5,5,3,3,1,5,4,1,5,5,3,5,1,1,1,1,1,1,40,640,"CA40",6,"CA",13,1,2,1,5,5,4,2,9,9,9,1,51,2,50,5,1,5,1,1,5,5,0,0,0,1,1,7,2,2,2,5,0,3,3,3,3,3,1,1,1,1,51,50,990,990,990,50,4,3,7,2,7,7,3,4,1,4,1,1,4,1,99,99,2,1,9,6,5,2,-9,2,3,5,6,5,5,3,5,1,1,1,1,2,2,3,3,4,2,1,2,3,5,1,1,1,1,1,2,4,4,1,2,4,3,5,5,6,6,-9,3,5,3,3,1,3,4,1,5,5,4,-9,2,2,3,1,1,2,-9,-9,2,-9,50,50,50,4,1,4,7,3,-9,-9,1,1,1,2
"59315",4461,20164461,0,0,0,0.383,0.395,0.395,0.395,4,0,0,9,0,NA,NA,9,9,9,9,82,7,5,2,1,1,1,7,2,4,4,2,3,5,3,2,0,0,1,2,2,6,7,5,1,3,1,1,3,51,10,5,5,60,60,60,30,50,50,60,60,60,15,60,15,60,40,50,50,50,50,15,50,5,2,3,2,2,1,1,1,1,2,1,1,1,2,2,5,1,1,1,38,28,50,50,15,50,60,50,30,15,2,4,15,1,1,1,1,2,2,2,1,6,1,1,3,1,1,25,0,0,8,2,3,2,2,2,2,2,1,4,3,5,2,2,1,1,1,1,1,1,1,0,5,9,9,5,2,2,2,54,4,2,9,4,2,3,4,4,9,6,1,3,3,1,3,3,2,3,5,5,5,4,5,1,1,5,5,5,2,3,3,2,2,1,2,2,31,631,"CA31",6,"CA",12,1,2,2,9,5,4,2,1,2,2,1,20,20,60,5,2,3,2,3,1,5,0,0,0,1,3,3,1,1,1,1,5,3,1,2,3,1,1,1,1,1,51,50,990,990,990,50,9,2,9,6,6,9,2,6,9,9,4,9,5,1,99,99,2,1,9,4,6,2,-9,2,2,3,5,3,5,3,5,4,4,4,3,2,2,3,2,3,2,3,1,2,3,1,1,2,1,-9,2,4,3,2,-9,-9,1,1,5,3,6,1,4,2,1,3,1,3,4,5,4,4,2,1,2,2,3,2,1,2,-9,-9,1,-9,50,50,70,1,4,1,1,3,1,1,1,1,1,2
